id,name,description,category,value,type,state,max_attempts,flags,type_data
1,Cya Veran Epona,"Link is searching for a specific Cya Veran Epona vulnerability ID can you help him finding the one matching the following description ?

""It has been declared at the end of 2021 in the Hyrule field, but seems that was possible to exploit it since 2009. The vulnerability allows a monster to LPE to root user using few lines of code. It has a score of 7.8 and impact almost all Linux distribution.""

<br>

**Level**: Easy

**Format**: R2Lille{ID}

**Author**: Mizu
",Misc,50,dynamic,hidden,0,R2Lille{2021-4034},"{""initial"":50, ""minimum"":10, ""decay"":25}"
3,My first colored temple,"<br>

**Level**: Easy

**Author**: Mizu, Ooggle",Steganography,50,dynamic,hidden,0,R2Lille{010100010101001001000011010011110100010001000101},"{""initial"":50, ""minimum"":10, ""decay"":25}"
4,Perfect Sound Box,"In his conquest of the fire temple, Link found a weird sound box in a chest.

Help him to find what it is hidding!

<br>

**Level:** Medium

**Author:** Mizu
",Steganography,100,dynamic,hidden,0,R2Lille{P3rF3cT_S0UnD},"{""initial"":100, ""minimum"":20, ""decay"":25}"
5,Mystic chest,"
<br>

**Level:** Medium

**Author:** Mizu
",Steganography,100,dynamic,hidden,0,R2Lille{My_Pr3c10uS},"{""initial"":100, ""minimum"":20, ""decay"":25}"
6,Chest flipping,"After getting robbed two time in row, link decided to use the modern AES cipher to secure is rupees chest. He said that using it, opening his chest became impossible. Prove the oposite one last time and open the chest.

<br>

**Level:** Hard

**Author:** Mizu
",Cryptography,200,dynamic,hidden,0,R2Lille{Fl1P_Th4t_FuCK1nG_cH3ST},"{""initial"":200, ""minimum"":40, ""decay"":25}"
7,ROX my cipher,"After his first failure while creating his cipher, Link decide to create a new one that must be undefeatable. Prove the oposite and open the door again.

PS: He used the following command to get cipher.txt

```sh
python run.py -c clear_text.txt -o flag.enc
```

<br>

**Level:** Medium

**Author:** Mizu
",Cryptography,100,dynamic,hidden,0,R2Lille{B4S1c_Asc11_M0duL0_1s_Us3l3ss_0n_X0R},"{""initial"":100, ""minimum"":20, ""decay"":25}"
8,My first cipher,"Link decided to learn crypto to lock is rupees room. Obviously, he made some mistakes, help him find the vulnerability to open the door.

PS: He used the following command to get cipher.txt

```sh
python run.py -c clear_text.txt -o flag.enc
```

<br>

**Level:** Easy

**Author:** Mizu
",Cryptography,50,dynamic,hidden,0,R2Lille{4V3_C3s4r},"{""initial"":50, ""minimum"":10, ""decay"":25}"
9,Sanity Check,R2Lille{S4niTY_Ch3cK},Misc,1,standard,hidden,0,R2Lille{S4niTY_Ch3cK},
10,Hyrule Shop,"A new shop has opened in the Hyrule fields!

Talking with the vendor, He asked you to help him to handle 100 of his clients for an incredible gift!

<br>

**Level**: Easy

**Author**: Mizu
",Programming,50,dynamic,hidden,0,R2Lille{Th3_Gr34t3ST_Sh0P},"{""initial"":50, ""minimum"":10, ""decay"":25}"
11,Anti BF,"<br>

**Level**: Medium

**Author**: Mizu
",Programming,100,dynamic,hidden,0,R2Lille{C4pTCh4_4r3_N0t_3n0uGh},"{""initial"":100, ""minimum"":20, ""decay"":25}"
